"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","44893","Calculate EMI for Car Loan","","2026-05-20","passed","2026-05-20","","Car Loan Calculator","Calculate EMI for Car Loan",""
"","24880","Calculate EMI for Home Loan","","2026-05-20","passed","2026-05-20","","Home Loan Calculator","Calculate EMI for Home Loan",""
